course_id,teacher_id,question_no,academic_degree,seniority,sex
0000-BHP,54655,901,no_dgr,4,male
0000-BHP,54655,903,no_dgr,4,male
0000-BHP,54655,904,no_dgr,4,male
0000-BHP,54655,905,no_dgr,4,male
0000-BHP,54655,907,no_dgr,4,male
0000-BW-NP,3432,902,ma,11,male
0000-BW-NP,3432,903,ma,11,male
0000-BW-NP,3432,906,ma,11,male
0000-BW-NP,3432,909,ma,11,male
0000-BW-NP,3773,901,ma,11,male
0000-BW-NP,3773,904,ma,11,male
0000-BW-NP,3773,907,ma,11,male
0000-BW-NP,3773,908,ma,11,male
0000-BW-NP,3773,909,ma,11,male
0000-BW-NP,54655,901,no_dgr,4,male
0000-BW-NP,54655,902,no_dgr,4,male
0000-BW-NP,54655,903,no_dgr,4,male
0000-BW-NP,54655,904,no_dgr,4,male
0000-BW-NP,54655,907,no_dgr,4,male
0000-BW-NP,54655,908,no_dgr,4,male
0000-BW-NP,54655,909,no_dgr,4,male
0000-BW-SP,3432,901,ma,11,male
0000-BW-SP,3432,903,ma,11,male
0000-BW-SP,3432,904,ma,11,male
0000-BW-SP,3432,908,ma,11,male
0000-BW-SP,4299,901,dr,10,male
0000-BW-SP,4299,902,dr,10,male
0000-BW-SP,4299,904,dr,10,male
0000-BW-SP,4299,905,dr,10,male
0000-BW-SP,4299,906,dr,10,male
0000-BW-SP,4299,907,dr,10,male
0000-BW-SP,4299,909,dr,10,male
0000-BW-SP,54655,901,no_dgr,4,male
0000-BW-SP,54655,902,no_dgr,4,male
0000-BW-SP,54655,903,no_dgr,4,male
0000-BW-SP,54655,904,no_dgr,4,male
0000-BW-SP,54655,906,no_dgr,4,male
0000-BW-SP,54655,907,no_dgr,4,male
0000-BW-SP,54655,909,no_dgr,4,male
0000-IIC,4299,901,dr,10,male
0000-IIC,4299,902,dr,10,male
0000-IIC,4299,904,dr,10,male
0000-IIC,4299,905,dr,10,male
0000-IIC,4299,906,dr,10,male
0000-IM-SE,3432,902,ma,11,male
0000-IM-SE,3432,903,ma,11,male
0000-IM-SE,3432,904,ma,11,male
0000-IM-SE,3432,905,ma,11,male
0000-IM-SE,3432,906,ma,11,male
0000-IM-SE,3432,907,ma,11,male
0000-IM-SE,3432,908,ma,11,male
0000-IM-SE,3432,909,ma,11,male
0000-IM-SE,4299,901,dr,10,male
0000-IM-SE,4299,903,dr,10,male
0000-IM-SE,4299,904,dr,10,male
0000-IM-SE,4299,905,dr,10,male
0000-IM-SE,4299,906,dr,10,male
0000-IM-SE,54655,901,no_dgr,4,male
0000-IM-SE,54655,903,no_dgr,4,male
0000-IM-SE,54655,906,no_dgr,4,male
0000-IM-SE,54655,908,no_dgr,4,male
0000-IM-SE,54655,909,no_dgr,4,male
0000-Library,3432,901,ma,11,male
0000-Library,3432,902,ma,11,male
0000-Library,3432,904,ma,11,male
0000-Library,3432,906,ma,11,male
0000-Library,3432,907,ma,11,male
0000-Library,3432,908,ma,11,male
0000-Library,3432,909,ma,11,male
0000-OSH,54655,901,no_dgr,4,male
0000-OSH,54655,902,no_dgr,4,male
0000-OSH,54655,903,no_dgr,4,male
0000-OSH,54655,904,no_dgr,4,male
0000-OSH,54655,905,no_dgr,4,male
0000-OSH,54655,907,no_dgr,4,male
0000-OSH,54655,908,no_dgr,4,male
0000-PE,3598,902,ma,11,male
0000-PE,3598,903,ma,11,male
0000-PE,3598,905,ma,11,male
0000-PE,3598,907,ma,11,male
0000-PE,3598,908,ma,11,male
0000-PE,3598,909,ma,11,male
0000-PE,75923,901,no_dgr,2,female
0000-PE,75923,902,no_dgr,2,female
0000-PE,75923,904,no_dgr,2,female
0000-PE,75923,905,no_dgr,2,female
0000-PE,75923,906,no_dgr,2,female
0000-PE,75923,907,no_dgr,2,female
0000-PE,75923,908,no_dgr,2,female
0000-SEM-NP,3485,901,dr,11,female
0000-SEM-NP,3485,902,dr,11,female
0000-SEM-NP,3485,903,dr,11,female
0000-SEM-NP,3485,905,dr,11,female
0000-SEM-NP,3485,906,dr,11,female
0000-SEM-NP,3485,909,dr,11,female
0000-SEM-NP,38379,901,dr,8,female
0000-SEM-NP,38379,903,dr,8,female
0000-SEM-NP,38379,904,dr,8,female
0000-SEM-NP,38379,905,dr,8,female
0000-SEM-NP,38379,906,dr,8,female
0000-SEM-NP,38379,908,dr,8,female
0000-SEM-NP,38379,909,dr,8,female
0000-SEM-NP,40937,903,ma,7,female
0000-SEM-NP,40937,904,ma,7,female
0000-SEM-NP,40937,905,ma,7,female
0000-SEM-NP,40937,907,ma,7,female
0000-SEM-NP,40937,909,ma,7,female
0000-SEM-NP,43908,902,dr,6,male
0000-SEM-NP,43908,903,dr,6,male
0000-SEM-NP,43908,904,dr,6,male
0000-SEM-NP,43908,905,dr,6,male
0000-SEM-NP,43908,906,dr,6,male
0000-SEM-NP,43908,908,dr,6,male
0000-SEM-NP,43908,909,dr,6,male
0000-SEM-SE,4299,902,dr,10,male
0000-SEM-SE,4299,903,dr,10,male
0000-SEM-SE,4299,904,dr,10,male
0000-SEM-SE,4299,905,dr,10,male
0000-SEM-SE,4299,906,dr,10,male
0000-SEM-SE,4299,908,dr,10,male
0000-SEM-SE,37025,903,dr,10,male
0000-SEM-SE,37025,904,dr,10,male
0000-SEM-SE,37025,905,dr,10,male
0000-SEM-SE,37025,906,dr,10,male
0000-SEM-SE,37025,907,dr,10,male
0000-SEM-SE,40903,901,dr,7,male
0000-SEM-SE,40903,903,dr,7,male
0000-SEM-SE,40903,904,dr,7,male
0000-SEM-SE,40903,905,dr,7,male
0000-SEM-SE,40903,906,dr,7,male
0000-SEM-SE,40903,907,dr,7,male
0000-SEM-SE,40903,908,dr,7,male
0000-SEM-SE,40903,909,dr,7,male
0000-SEM-SE,51027,902,ma,4,male
0000-SEM-SE,51027,903,ma,4,male
0000-SEM-SE,51027,904,ma,4,male
0000-SEM-SE,51027,908,ma,4,male
